Image,Image_URL,Dead Biomass,Dead Wood,Unknow Grass,VIRO,PHAU,VICR,CAIR,ROBL,CALE,POPR,POCO,GLHE,SAIN,VIRI,BRIN,ROPA,PLLA,SPAL,PHOP,Unk ROSA,SOCA,DACA,CAST,HYPE,TOJA,PASA,PIGL,SODU,GERO,RHCA,EQPR,MACA,POPU,Unk Fungus,AGGI,SOAR,MELU,EQAR,CANU,TUFA,Droppings,SOGI,CANU,ACSA (II),TSCA,FRAM,HENO,Bare soil,Canopy ACSA,Canopy TSCA,Canopy FAGR,PRIN,MOSS,Unknown sedge,Mulch,Temp Sensor,TOAF,CEOC,JUCO,SYNO,SOAL,MEAL,ANSY,COSE,ROPS,TAVU,CIIN,TRPR,SYER,Roderd Guard,ERST,SOSP,GEAL,ELCA,JUNI,BRJA,CEFO,PHPR,GELA,PDPR,PODE,BOIN,ALPE,BARO,IMCA,IMGL,ACNE,PAQU,TOTAL_DEAD_BIOMASS,Living_Biomass
IMG_S17_J10,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S17_J10.jpg,2,0,0,60,4,4,6.5,9,6.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92
IMG_S17_A7,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S17_A7.jpg,8.5,0,0,33.5,0,0,2.5,0,9.5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,68.5
IMG_S17_D3,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S17_D3.jpg,4.5,0,0,39.5,3,1,5.5,0,32.5,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,87.5
IMG_S17_F5,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S17_F5.jpg,5,0,0,27,3,0,7,0,36,2.5,3,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,86
IMG_S17_G7,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S17_G7.jpg,12,0,0,24.5,1.5,4.5,0,6,77.5,5,4.5,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,141
IMG_S19_H4,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S19_H4.jpg,43,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,30.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,58
IMG_S19_E10,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S19_E10.jpg,32,0,0,2.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,10.5,0,16.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,131
IMG_S19_B8,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S19_B8.JPG,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,90,0,24,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,139
IMG_S21_A5,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S21_A5.jpg,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,7,1,0,0,0,0,41,100
IMG_S21_E6,https://github.com/Jacksouri/Percent_Cover_Project/blob/44a195a4bc56d4f2fba0da709ae8aeed7e69ff23/PRECENT%20COVERAGE%20PICTURES/IMG_S21_E6.jpg,30,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,60,0,95,72
